1,Tell me about yourself.
2,How would people describe you?
3,Which is your most significant accomplishment?
4,What is your greatest strength?
5,What is your greatest weakness?
6,What are your preferred programming languages and why?
7,What is a class? What is a super-class?
8,What is a default constructor? What is a conversion constructor?
9,What is the difference between C and C++ ? Would you prefer to use one over the other?
10,What is multiple inheritance? What are its advantages and disadvantages?
